date,dI_dt,dR_dt,S,I,N
2020-02-28,0,0,0,0,364220
2020-02-29,0,0,364219,1,364220
2020-03-01,0,0,364219,1,364220
2020-03-02,0,0,364216,4,364220
2020-03-03,0,0,364210,10,364220
2020-03-04,1,0,364205,15,364220
2020-03-05,0,0,364191,29,364220
2020-03-06,3,0,364183,37,364220
2020-03-07,4,0,364174,46,364220
2020-03-08,2,0,364167,53,364220
2020-03-09,5,0,364162,58,364220
2020-03-10,5,0,364153,67,364220
2020-03-11,3,0,364139,81,364220
2020-03-12,8,0,364115,105,364220
2020-03-13,6,0,364099,121,364220
2020-03-14,14,2,364079,141,364220
2020-03-15,11,1,364055,163,364220
2020-03-16,16,4,364036,181,364220
2020-03-17,22,4,364013,200,364220
2020-03-18,52,9,363962,247,364220
2020-03-19,61,5,363885,315,364220
2020-03-20,48,11,363807,388,364220
2020-03-21,74,3,363748,436,364220
2020-03-22,20,2,363656,525,364220
2020-03-23,52,13,363634,545,364220
2020-03-24,89,9,363567,599,364220
2020-03-25,37,16,363461,696,364220
2020-03-26,74,15,363419,722,364220
2020-03-27,64,18,363332,794,364220
2020-03-28,50,13,363262,846,364220
2020-03-29,59,18,363206,889,364220
2020-03-30,46,34,363141,936,364220
2020-03-31,75,49,363090,953,364220
2020-04-01,96,42,363007,987,364220
2020-04-02,42,43,362908,1044,364220
2020-04-03,51,81,362863,1046,364220
2020-04-04,64,33,362809,1019,364220
2020-04-05,68,32,362739,1056,364220
2020-04-06,24,98,362665,1098,364220
2020-04-07,27,74,362641,1024,364220
2020-04-08,31,55,362611,980,364220
2020-04-09,27,62,362579,957,364220
2020-04-10,13,91,362552,922,364220
2020-04-11,12,49,362539,844,364220
2020-04-12,10,45,362527,807,364220
2020-04-13,9,51,362517,772,364220
2020-04-14,7,90,362508,730,364220
2020-04-15,12,68,362501,647,364220
2020-04-16,15,80,362489,591,364220
2020-04-17,6,68,362474,526,364220
2020-04-18,11,37,362468,464,364220
2020-04-19,2,34,362457,438,364220
2020-04-20,5,54,362455,406,364220
2020-04-21,7,46,362450,357,364220
2020-04-22,4,50,362443,318,364220
2020-04-23,0,34,362439,272,364220
2020-04-24,1,27,362439,238,364220
2020-04-25,2,36,362438,212,364220
2020-04-26,0,17,362436,178,364220
2020-04-27,3,15,362436,161,364220
2020-04-28,2,21,362433,149,364220
2020-04-29,0,17,362431,130,364220
2020-04-30,1,19,362431,113,364220
2020-05-01,0,22,362430,95,364220
2020-05-02,1,10,362430,73,364220
2020-05-03,0,8,362429,64,364220
2020-05-04,0,10,362429,56,364220
